지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Seonyudo Park,4.4,Park,37.5437306,126.8996445,https://t1.gstatic.com/images?q=tbn:ANd9GcRc0recpdCtqahYO54I1ugxbWTGHqUZgSevPM8v-IpU16Z8KrV-OTUpBrd30Wc0MBIUG5Vq-ysDBuCsCw,"1 Dangsan-dong, Yeongdeungpo-gu, Seoul, South Korea",Outdoors
Montmarte Park,4.3,Park,37.49509949999999,127.0035246,https://lh4.googleusercontent.com/-tOHZtTSA70s/XYyXKM5Z2KI/AAAAAAAAA9k/4JkFPu1fzDkKGYKIqR4lx5v4Aj17WnSDwCLIBGAYYCw/w464-h260-n-k-no/,"Seocho-dong, Seocho-gu, Seoul, South Korea",Outdoors
Changgyeonggung Palace,4.6,Royal palace built in the 15th century,37.5787708,126.9948698,https://lh3.googleusercontent.com/proxy/57gl0BM3J7QPNRa6cXdVzE39eKCbdV8lFzCv5XdyDzq2ddzeVK1NF0_-p03aAEzFIees08ERx_w9q8OOb2A2CbnPh_z1Yy8XwKI-3oCQ1RzluE_XMCMppSCKvesfCfQaujb5Hy9lfZmmG5o50Ton6tcQ1D7iR-VutKYX8migdhm2=w464-h260-n-k-no,"185 Changgyeonggung-ro, Waryong-dong, Jongno-gu, Seoul, South Korea",Outdoors History Art&Culture Kind-friendly Local-favorites Nightview
Jangchungdan Park,4.3,Park,37.5577308,127.0043005,https://t2.gstatic.com/images?q=tbn:ANd9GcQtGsMuOH0Zlo4BYdJMgN3B0ApA-1_cTczc6RvSQ0OPSfs4ifqtgyuDMgeebSmqM1Qd3uZQ1gARNXBiow,"Jangchungdong 2(i)-ga, Jung-gu, Seoul, South Korea",Outdoors
Gyeongbokgung Palace,4.6,Historic palace with tours & a museum,37.579617,126.977041,https://lh6.googleusercontent.com/proxy/OgpZZyyaQtQq30C5KM7IEb9kxDBVrlyOMy1GzCmZpNoBguS2vFv0gDtlqPwgzIPFoFEsK3eTQKhW74_VLypckQDH-tzcqBV-we8CTGSeQ8H509isTSFBG4TsA_xvHayw6ZvrxqrjMXeaNkgOZx5YAV_oayQ=w464-h260-n-k-no,"161 Sajik-ro, Sejongno, Jongno-gu, Seoul, South Korea",Outdoors History Art&Culture Kind-friendly
Cheonggyesan,4.1,"Mountaineering, autumn leaf color, mountain, and hiking",37.4141657,127.0415787,https://lh6.googleusercontent.com/proxy/IBb2T8EdWi1ZgCmD2jQ6VKsxUSl1XhoUU6Gj3n4bjZWBZ-SnVJxC43i0fYQdMvfokNAHqu3UIIgGbeayxuh-wodtfPrH2jcT_Sq_1FO4nrDP7tyIVDuZjZ0ZdYX-m9xmiawkKr7XJXDvbFeoiufmVyohBI6BgsxIFYg=w464-h260-n-k-no,"Cheonggyesan, Sangjeok-dong, Seongnam-si",Outdoors Kind-friendly
Hyochang Park,4.2,City park & former royal cemetery,37.5450482,126.9603142,https://lh3.googleusercontent.com/-aNV3WAgl2Mc/W0MufpdYFgI/AAAAAAAAcEQ/8u3iKvmrEX0LjwrUy6imfLV-kNc4X1CigCLIBGAYYCw/w464-h260-n-k-no/,"177-18 Hyochangwon-ro, Hyochang-dong, Yongsan-gu, Seoul, South Korea",Outdoors Kind-friendly Nightview
Ichon Hangang Riverside Park,4.3,Park,37.5159703,126.9758314,https://lh4.googleusercontent.com/-97a9pIqy-fg/XZdYlROC8II/AAAAAAAAnxM/mFG8mA5w0WgEv2SmqBAxgkGaPO9xq7m-QCLIBGAYYCw/w464-h260-n-k-no/,"62 Ichon-ro 72-gil, Ichon-dong, Yongsan-gu, Seoul, South Korea",Outdoors Nightview
North Seoul Dream Forest,4.5,Sprawling park with trails & art center,37.6214313,127.0406246,https://lh5.googleusercontent.com/-fgznBtNepmI/WJlQ8cTSjDI/AAAAAAAAAF4/RSt8fEK6ooM2dhKu_-BOaR787RUlC9vjgCLIB/w464-h260-n-k-no/,"173 Wolgye-ro, Beon-dong, Gangbuk-gu, Seoul, South Korea",Outdoors Kind-friendly
동대문성곽공원,4.4,Park,37.5719236,127.0090775,https://lh4.googleusercontent.com/-BKRLtTMvN5E/XU_cWRSqTGI/AAAAAAABS5M/tL5754eQjKYyYeA0i1x9AgjkhO8jOqP6gCLIBGAYYCw/w464-h260-n-k-no/,"70 Jongno 6(yuk)-ga, Jongno-gu, Seoul, South Korea",Outdoors
